Ticker,Altman Z-Score,Safety Level,Sector,Market Cap,Market Cap (Billions)
VRSK,8.722760877672735,Safe,Industrials,41545691136.0,41.55
VZ,1.1308766638178605,Distress,Communication Services,186654998528.0,186.65
VRTX,10.577542959599574,Safe,Healthcare,120557051904.0,120.56
VTRS,0.9121331066970236,Distress,Healthcare,15624093696.0,15.62
VICI,1.939510878862637,Gray,Real Estate,34376482816.0,34.38
V,6.056507089708523,Safe,Financial Services,609733378048.0,609.73
VST,1.53621696259789,Distress,Utilities,54381719552.0,54.38
VMC,4.362405319691011,Safe,Basic Materials,38050738176.0,38.05
GWW,11.057796429977593,Safe,Industrials,58700296192.0,58.7
WAB,2.828905567836556,Gray,Industrials,34484572160.0,34.48
WBA,1.5872915298715429,Distress,Healthcare,7798845952.0,7.8
WMT,5.067605152015324,Safe,Consumer Defensive,743538098176.0,743.54
DIS,1.9439434490167904,Gray,Communication Services,212731133952.0,212.73
WBD,0.4393636704640035,Distress,Communication Services,25709219840.0,25.71
WM,3.3949656149583625,Safe,Industrials,91599749120.0,91.6
WAT,7.466048870059021,Safe,Healthcare,22843211776.0,22.84
WEC,1.070218182794288,Distress,Utilities,31967571968.0,31.97
WELL,2.8345690624615494,Gray,Real Estate,86043295744.0,86.04
WST,11.79802685323263,Safe,Healthcare,23586527232.0,23.59
WDC,1.7817012555859209,Distress,Technology,25233225728.0,25.23
WY,2.8281613817915185,Gray,Real Estate,23439534080.0,23.44
WMB,1.1865403143432829,Distress,Energy,71336468480.0,71.34
WTW,1.207139536541388,Distress,Financial Services,32433451008.0,32.43
WYNN,1.0389259936871371,Distress,Consumer Cyclical,10364339200.0,10.36
XEL,0.9788351127023508,Distress,Utilities,41666998272.0,41.67
XYL,3.2176960413267306,Safe,Industrials,30793277440.0,30.79
YUM,2.2369138348491826,Gray,Consumer Cyclical,38774263808.0,38.77
ZBRA,3.827162097662173,Safe,Technology,20993060864.0,20.99
ZBH,2.441188549629129,Gray,Healthcare,22316195840.0,22.32
ZTS,6.956270361567944,Safe,Healthcare,79066660864.0,79.07
